Coordinate	4radar_woffset	2radar_angled	1radar	2radar_opp	4radar_nooffset
L13	14:15:37	17:12:58	14:16:57	14:31:18	14:41:52
M13	14:15:40	17:13:01	14:17:00	14:31:21	14:41:55
M12	14:15:43	17:13:04	14:17:03	14:31:24	14:41:58
M11	14:15:46	17:13:07	14:17:06	14:31:27	14:42:01
M10	14:15:49	17:13:10	14:17:09	14:31:30	14:42:04
M9	14:15:52	17:13:13	14:17:12	14:31:33	14:42:07
M8	14:15:55	17:13:16	14:17:15	14:31:36	14:42:10
M7	14:15:58	17:13:19	14:17:18	14:31:39	14:42:13
M6	14:16:01	17:13:22	14:17:21	14:31:42	14:42:16
M5	14:16:04	17:13:25	14:17:24	14:31:45	14:42:19
M4	14:16:07	17:13:28	14:17:27	14:31:48	14:42:22
M3	14:16:10	17:13:31	14:17:30	14:31:51	14:42:25
M2	14:16:13	17:13:34	14:17:33	14:31:54	14:42:28
M1	14:16:16	17:13:37	14:17:36	14:31:57	14:42:31
