Script started on 2024-04-23 14:06:52+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:07:22 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:28 []
14:08:27 [(-2928.0, 1130.0)]
14:08:27 [(-2926.33, 1126.0)]
14:08:27 [(-2925.67, 1110.67)]
14:08:27 [(-2925.33, 1092.0)]
14:08:27 [(-2926.67, 1082.67)]
14:08:27 [(-2928.33, 1082.67)]
14:08:28 [(-2928.67, 1084.0)]
14:08:28 [(-2927.67, 1088.0)]
14:08:28 [(-2927.33, 1086.0)]
14:08:28 [(-2928.33, 1081.67)]
14:08:28 [(-2930.33, 1078.0)]
14:08:28 [(-2933.67, 1074.67)]
14:08:28 [(-2945.0, 1058.33)]
14:08:28 [(-2970.33, 1037.33)]
14:08:28 [(-2985.33, 1030.0)]
14:08:28 [(-2798.5, 948.0)]
14:08:28 [(-2782.0, 951.0)]
14:08:28 [(-2950.33, 1078.33)]
14:08:29 [(-2901.67, 1166.33)]
14:08:29 [(-2845.33, 1260.67)]
14:08:29 [(-2797.33, 1352.33)]
14:08:29 [(-2876.0, 1593.5)]
14:08:29 []
14:08:29 []
14:08:29 []
14:08:29 []
14:08:29 []
14:08:29 []
14:08:29 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:30 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:31 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:32 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:33 []
14:08:34 []
14:08:34 []
14:08:34 []
14:08:34 []
14:08:34 []
14:08:34 []
14:08:34 [(-3029.5, 2232.5)]
14:08:34 [(-3037.0, 2233.5)]
14:08:34 [(-3041.0, 2235.5)]
14:08:34 [(-3042.5, 2237.0)]
14:08:34 [(-3044.5, 2236.0)]
14:08:35 [(-3048.0, 2234.5)]
14:08:35 [(-3050.0, 2234.5)]
14:08:35 [(-3054.5, 2233.0)]
14:08:35 [(-3058.0, 2233.5)]
14:08:35 [(-3063.5, 2233.0)]
14:08:35 [(-3067.5, 2234.5)]
14:08:35 [(-3072.0, 2237.0)]
14:08:35 [(-3076.0, 2242.0)]
14:08:35 [(-3079.0, 2248.5)]
14:08:35 [(-3081.0, 2254.5)]
14:08:35 [(-3080.0, 2261.0)]
14:08:35 [(-3078.0, 2267.5)]
14:08:36 [(-3076.5, 2274.0)]
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:36 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:37 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:38 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:39 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:40 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:41 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:42 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 []
14:08:43 [(-2206.0, 2034.0)]
14:08:43 [(-2436.0, 1942.67)]
14:08:44 [(-2442.33, 1897.0)]
14:08:44 [(-2443.67, 1879.67)]
14:08:44 [(-2448.0, 1875.33)]
14:08:44 [(-2452.67, 1869.0)]
14:08:44 [(-2454.33, 1861.33)]
14:08:44 [(-2456.33, 1856.0)]
14:08:44 [(-2456.0, 1856.0)]
14:08:44 [(-2453.67, 1860.67)]
14:08:44 [(-2452.33, 1866.0)]
14:08:44 [(-2455.33, 1863.33)]
14:08:44 [(-2458.67, 1856.67)]
14:08:44 [(-2462.67, 1848.33)]
14:08:45 [(-2465.67, 1839.67)]
14:08:45 [(-2302.0, 1918.5)]
14:08:45 [(-2302.5, 1918.0)]
14:08:45 [(-2303.5, 1920.0)]
14:08:45 [(-2308.5, 1920.5)]
14:08:45 [(-2313.0, 1922.5)]
14:08:45 [(-2320.0, 1921.0)]
14:08:45 [(-2324.5, 1915.0)]
14:08:45 [(-2330.0, 1904.0)]
14:08:45 [(-2498.0, 1795.67)]
14:08:45 [(-2508.67, 1763.67)]
14:08:46 [(-2517.33, 1719.33)]
14:08:46 [(-2521.0, 1670.67)]
14:08:46 [(-2524.33, 1635.33)]
14:08:46 [(-2521.67, 1607.67)]
14:08:46 [(-2519.33, 1586.0)]
14:08:46 [(-2515.67, 1567.33)]
14:08:46 [(-2511.0, 1547.33)]
14:08:46 [(-2513.0, 1523.67)]
14:08:46 [(-2520.67, 1488.33)]
14:08:46 [(-2526.33, 1457.0)]
14:08:46 [(-2543.67, 1410.0)]
14:08:47 [(-2558.0, 1372.0)]
14:08:47 [(-2555.33, 1353.33)]
14:08:47 [(-2554.0, 1346.0)]
14:08:47 [(-2554.33, 1346.33)]
14:08:47 [(-2557.67, 1345.0)]
14:08:47 [(-2559.0, 1348.0)]
14:08:47 [(-2559.67, 1351.33)]
14:08:47 [(-2560.0, 1356.67)]
14:08:47 [(-2556.0, 1381.67)]
14:08:47 [(-2555.0, 1389.33)]
14:08:47 [(-2554.0, 1394.33)]
14:08:48 [(-2555.0, 1392.33)]
14:08:48 [(-2557.33, 1387.33)]
14:08:48 [(-2559.67, 1381.67)]
14:08:48 [(-2561.0, 1378.0)]
14:08:48 [(-2561.33, 1374.0)]
14:08:48 [(-2561.33, 1369.0)]
14:08:48 [(-2561.67, 1365.0)]
14:08:48 [(-2562.0, 1363.67)]
14:08:48 [(-2564.0, 1361.67)]
14:08:48 [(-2564.67, 1356.33)]
14:08:48 [(-2563.67, 1347.0)]
14:08:48 [(-2564.33, 1333.67)]
14:08:49 [(-2563.0, 1310.0)]
14:08:49 [(-2561.67, 1282.0)]
14:08:49 [(-2560.67, 1219.67)]
14:08:49 [(-2563.67, 1110.33)]
14:08:49 [(-2572.33, 1000.67)]
14:08:49 [(-2582.33, 897.67)]
14:08:49 [(-2587.33, 828.33)]
14:08:49 [(-2613.5, 971.0)]
14:08:49 [(-2611.5, 957.0)]
