Script started on 2024-04-29 14:55:11+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
^[[B^[[DConfig updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '2', 'radar1_en': 'True', 'radar2_en': 'True', 'radar3_en': 'True', 'radar4_en': 'True', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:56:33 [(-68.25, -126.5)]
14:56:33 [(-68.0, -122.5)]
14:56:33 [(-69.5, -118.75)]
14:56:33 [(-69.75, -116.5)]
14:56:33 [(-68.25, -115.25)]
14:56:33 [(-64.5, -113.75)]
14:56:33 [(-53.5, -110.5)]
14:56:34 [(-46.25, -109.75)]
14:56:34 [(-41.5, -108.25)]
14:56:34 [(-40.5, -107.25)]
14:56:34 [(-38.75, -106.75)]
14:56:34 [(-38.5, -105.75)]
14:56:34 [(-35.0, -105.25)]
14:56:34 [(-33.0, -104.75)]
14:56:34 [(-30.5, -103.5)]
14:56:34 [(-29.25, -99.75)]
14:56:34 [(-28.25, -97.0)]
14:56:34 [(-27.75, -95.25)]
14:56:35 [(-27.25, -95.0)]
14:56:35 [(-27.0, -95.25)]
14:56:35 [(-26.75, -94.75)]
14:56:35 [(-26.25, -94.75)]
14:56:35 [(-26.5, -95.0)]
14:56:35 [(-26.0, -93.0)]
14:56:35 [(-26.5, -90.25)]
14:56:35 [(-26.25, -89.0)]
14:56:35 [(-23.25, -87.25)]
14:56:35 [(-18.5, -85.5)]
14:56:35 [(-10.5, -83.5)]
14:56:36 [(-1.5, -82.5)]
14:56:36 [(9.0, -83.0)]
14:56:36 [(21.0, -84.75)]
14:56:36 [(34.75, -85.75)]
14:56:36 [(48.75, -87.5)]
14:56:36 [(68.0, -91.0)]
14:56:36 [(88.0, -94.0)]
14:56:36 [(106.75, -95.0)]
14:56:36 [(133.75, -96.0)]
14:56:36 [(162.25, -95.25)]
14:56:36 [(196.25, -94.5)]
14:56:37 [(208.75, -91.5)]
14:56:37 [(220.75, -87.5)]
14:56:37 [(233.75, -79.0)]
14:56:37 [(252.25, -65.25)]
14:56:37 [(268.5, -56.0)]
14:56:37 [(286.0, -50.25)]
14:56:37 [(295.0, -44.5)]
14:56:37 [(300.75, -32.75)]
14:56:37 [(306.0, -21.25)]
14:56:37 [(311.5, -9.0)]
14:56:37 [(327.5, 10.0)]
14:56:38 [(343.25, 31.5)]
14:56:38 [(354.0, 57.75)]
14:56:38 [(364.75, 105.75)]
14:56:38 [(372.5, 166.75)]
14:56:38 [(377.0, 253.25)]
14:56:38 [(393.5, 350.25)]
14:56:38 [(410.5, 440.25)]
14:56:38 [(483.0, 635.0)]
14:56:38 [(509.67, 712.33)]
14:56:38 [(453.5, 705.25)]
14:56:38 [(468.0, 774.75)]
14:56:39 [(471.25, 824.75)]
14:56:39 [(474.5, 886.5)]
14:56:39 [(475.75, 918.75)]
14:56:39 [(481.75, 939.75)]
14:56:39 [(484.5, 956.0)]
14:56:39 [(484.75, 972.0)]
14:56:39 [(476.5, 987.0)]
14:56:39 [(466.25, 996.25)]
14:56:39 [(453.0, 1006.75)]
14:56:39 [(439.25, 1011.0)]
14:56:39 [(420.25, 1015.0)]
14:56:40 [(391.75, 1012.5)]
14:56:40 [(352.25, 1006.25)]
14:56:40 [(311.25, 998.0)]
14:56:40 [(264.5, 986.5)]
14:56:40 [(213.5, 978.0)]
14:56:40 [(149.0, 973.75)]
14:56:40 [(89.5, 971.25)]
14:56:40 [(13.0, 964.75)]
14:56:40 [(-50.75, 962.0)]
14:56:40 [(-116.0, 963.5)]
14:56:40 [(-186.0, 965.0)]
14:56:41 [(-248.5, 968.0)]
14:56:41 [(-311.0, 970.5)]
14:56:41 [(-371.75, 964.75)]
14:56:41 [(-428.0, 957.75)]
14:56:41 [(-628.67, 985.0)]
14:56:41 [(-697.67, 980.67)]
14:56:41 [(-626.0, 929.75)]
14:56:41 [(-724.0, 921.5)]
14:56:41 [(-817.25, 925.25)]
14:56:41 [(-889.5, 928.25)]
14:56:41 [(-958.5, 931.25)]
14:56:42 [(-1009.25, 926.0)]
14:56:42 [(-1053.25, 935.75)]
14:56:42 [(-1077.75, 935.5)]
14:56:42 [(-1085.0, 927.5)]
14:56:42 [(-1090.25, 923.25)]
14:56:42 [(-1091.0, 909.0)]
14:56:42 [(-1097.0, 895.5)]
14:56:42 [(-1104.75, 880.5)]
14:56:42 [(-1108.75, 859.5)]
14:56:42 [(-1109.0, 832.25)]
14:56:42 [(-1109.75, 802.25)]
14:56:43 [(-1107.5, 764.5)]
14:56:43 [(-1103.25, 726.0)]
14:56:43 [(-1100.75, 676.5)]
14:56:43 [(-1102.5, 619.5)]
14:56:43 [(-1101.5, 537.75)]
14:56:43 [(-1109.0, 473.5)]
14:56:43 [(-1111.0, 413.75)]
14:56:43 [(-1110.0, 358.25)]
14:56:43 [(-1106.5, 291.75)]
14:56:43 [(-1099.25, 231.0)]
14:56:43 [(-1088.0, 168.5)]
14:56:44 [(-1076.75, 105.0)]
14:56:44 [(-1071.0, 40.25)]
14:56:44 [(-1126.0, -184.67)]
14:56:44 [(-1128.67, -287.0)]
14:56:44 [(-1140.33, -360.67)]
14:56:44 [(-1142.67, -430.0)]
14:56:44 [(-1146.33, -499.0)]
14:56:44 [(-1150.33, -565.0)]
14:56:44 [(-1101.5, -526.25)]
14:56:44 [(-1105.75, -612.0)]
14:56:44 [(-1110.0, -696.0)]
14:56:45 [(-1116.0, -768.5)]
14:56:45 [(-1120.0, -837.0)]
14:56:45 [(-1114.75, -892.75)]
14:56:45 [(-1091.0, -930.75)]
14:56:46 [(-1062.25, -967.0)]
Connected to MQTT broker.
14:56:49 [(1353.75, -1069.75)]
14:56:49 [(1386.75, -1056.25)]
14:56:49 [(1422.5, -1039.5)]
14:56:49 [(1445.25, -1022.25)]
14:56:49 [(1461.75, -1014.5)]
14:56:49 [(1486.75, -1014.5)]
14:56:49 [(1505.0, -1008.0)]
14:56:49 [(1510.75, -999.25)]
14:56:49 [(1516.5, -992.0)]
14:56:49 [(1521.0, -983.25)]
14:56:49 [(1533.0, -970.75)]
14:56:50 [(1543.5, -962.75)]
14:56:50 [(1553.25, -947.0)]
14:56:50 [(1565.0, -911.5)]
14:56:50 [(1574.25, -874.25)]
14:56:50 [(1577.25, -822.5)]
14:56:50 [(1573.25, -772.25)]
14:56:50 [(1555.5, -720.0)]
14:56:50 [(1542.25, -660.75)]
14:56:50 [(1531.75, -599.25)]
14:56:50 [(1524.75, -537.25)]
14:56:50 [(1518.25, -471.25)]
14:56:51 [(1565.0, -245.67)]
14:56:51 [(1549.67, -151.67)]
14:56:51 [(1522.67, -39.67)]
14:56:51 [(1488.67, 42.0)]
14:56:51 [(1460.0, 128.67)]
14:56:51 [(1431.0, 220.67)]
14:56:51 [(1409.33, 315.67)]
14:56:51 [(1392.33, 413.67)]
14:56:51 [(1385.0, 505.67)]
14:56:51 [(1383.0, 602.0)]
14:56:51 [(1398.0, 695.33)]
14:56:52 [(1400.67, 778.67)]
14:56:52 [(1406.0, 855.0)]
14:56:52 [(1419.67, 932.0)]
14:56:52 [(1464.33, 1024.67)]
14:56:52 [(1428.75, 989.25)]
14:56:52 [(1441.0, 1085.25)]
14:56:52 [(1443.0, 1175.5)]
14:56:52 [(1431.75, 1246.5)]
14:56:52 [(1414.5, 1314.5)]
14:56:52 [(1395.75, 1378.25)]
14:56:52 [(1398.25, 1440.0)]
14:56:53 [(1405.5, 1514.75)]
14:56:53 [(1416.25, 1576.75)]
14:56:53 [(1435.5, 1639.75)]
14:56:53 [(1454.75, 1708.5)]
14:56:53 [(1441.75, 1751.25)]
14:56:53 [(1425.75, 1791.75)]
14:56:53 [(1417.75, 1832.5)]
14:56:53 [(1409.75, 1865.5)]
14:56:53 [(1396.0, 1885.5)]
14:56:53 [(1384.5, 1902.75)]
14:56:53 [(1377.25, 1913.75)]
14:56:54 [(1378.75, 1926.5)]
14:56:54 [(1385.5, 1940.25)]
14:56:54 [(1389.75, 1949.0)]
14:56:54 [(1395.25, 1950.0)]
14:56:54 [(1399.75, 1955.5)]
14:56:54 [(1404.25, 1956.75)]
14:56:54 [(1423.25, 1958.5)]
14:56:54 [(1455.25, 1961.0)]
14:56:54 [(1495.25, 1960.5)]
14:56:54 [(1533.0, 1960.5)]
14:56:54 [(1406.33, 1978.33)]
14:56:55 [(1394.67, 1996.33)]
14:56:55 [(1380.0, 2011.33)]
14:56:55 [(1358.67, 2022.67)]
14:56:55 [(1332.33, 2030.33)]
14:56:55 [(1291.0, 2044.67)]
14:56:55 [(1247.33, 2056.0)]
14:56:55 [(1345.5, 2014.0)]
14:56:55 [(1197.75, 2009.25)]
14:56:55 [(1116.5, 2003.75)]
14:56:55 [(1039.5, 1997.75)]
14:56:55 [(953.25, 1998.25)]
14:56:56 [(872.5, 1997.75)]
14:56:56 [(809.5, 2055.75)]
14:56:56 [(751.75, 2135.75)]
14:56:56 [(750.0, 2082.0)]
14:56:56 [(692.0, 2087.67)]
14:56:56 [(629.67, 2100.33)]
14:56:56 [(562.67, 2099.67)]
14:56:56 [(493.33, 2084.67)]
14:56:56 [(429.0, 2077.67)]
