Script started on 2024-04-23 14:39:30+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'False', 'radar2_en': 'True', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '-1000.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '-3000.0', 'radar2_a': '-45.0', 'radar3_x': '-3000.0', 'radar3_y': '3000.0', 'radar3_a': '-135.0', 'radar4_x': '3000.0', 'radar4_y': '-1000.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:40:59 [(-2389.06, 2458.36)]
14:40:59 [(-2378.45, 2443.51)]
14:40:59 [(-2367.14, 2427.95)]
14:40:59 [(-2330.37, 2379.87)]
14:40:59 [(-2295.72, 2331.08)]
14:40:59 [(-2258.95, 2282.99)]
14:40:59 [(-2176.93, 2196.73)]
14:40:59 [(-2098.44, 2104.1)]
14:41:00 [(-2027.02, 2010.05)]
14:41:00 [(-1976.11, 1939.34)]
14:41:00 [(-1907.52, 1873.58)]
14:41:00 [(-1850.95, 1801.45)]
14:41:00 [(-1785.19, 1742.76)]
14:41:00 [(-1722.97, 1677.71)]
14:41:00 [(-1668.52, 1616.19)]
14:41:00 [(-1599.22, 1568.11)]
14:41:00 [(-1516.49, 1516.49)]
14:41:00 [(-1440.83, 1466.29)]
14:41:00 [(-1376.48, 1400.52)]
14:41:01 [(-1324.86, 1312.14)]
14:41:01 [(-1264.05, 1240.01)]
14:41:01 [(-1208.19, 1189.81)]
14:41:01 [(-1134.65, 1131.82)]
14:41:01 [(-1074.55, 1080.21)]
14:41:01 [(-1022.22, 1020.81)]
14:41:01 [(-972.02, 956.46)]
14:41:01 [(-931.71, 907.67)]
14:41:01 [(-893.53, 858.17)]
14:41:01 [(-859.59, 812.92)]
14:41:01 [(-827.77, 758.47)]
14:41:02 [(-800.19, 704.02)]
14:41:02 [(-752.11, 653.11)]
14:41:02 [(-675.03, 626.95)]
14:41:02 [(-612.1, 592.3)]
14:41:02 [(-561.9, 537.85)]
14:41:02 [(-523.0, 504.62)]
14:41:02 [(-475.63, 471.39)]
14:41:02 [(-440.27, 420.47)]
14:41:02 [(-412.7, 351.89)]
14:41:02 [(-390.07, 264.2)]
14:41:02 [(-359.66, 189.96)]
14:41:03 [(-338.45, 131.97)]
14:41:03 [(-325.02, 88.84)]
14:41:03 [(-300.27, 72.58)]
14:41:03 [(-279.05, 45.71)]
14:41:03 [(-239.46, 45.71)]
14:41:03 [(-203.39, 59.14)]
14:41:03 [(-156.72, 76.11)]
14:41:03 [(-127.73, 99.45)]
14:41:03 [(-83.18, 125.61)]
14:41:03 [(-47.12, 140.46)]
14:41:03 [(-54.9, 78.94)]
14:41:03 [(-67.63, 45.0)]
14:41:04 [(-83.18, -15.81)]
14:41:04 [(-86.01, -80.86)]
14:41:04 [(-102.28, -140.97)]
14:41:04 [(-105.81, -182.69)]
14:41:04 [(-90.96, -190.47)]
14:41:04 [(-78.23, -200.37)]
14:41:04 [(-60.56, -198.24)]
14:41:04 [(-48.54, -190.47)]
14:41:04 [(-42.17, -191.17)]
14:41:04 [(-43.59, -192.59)]
14:41:04 [(-42.88, -184.81)]
14:41:05 [(-36.52, -177.03)]
14:41:05 [(-29.44, -171.37)]
14:41:05 [(-20.25, -165.01)]
14:41:05 [(5.2, -150.87)]
14:41:05 [(29.95, -138.85)]
14:41:05 [(49.75, -131.78)]
14:41:05 [(53.99, -133.19)]
14:41:05 [(51.87, -133.9)]
14:41:05 [(51.17, -134.6)]
14:41:05 [(49.75, -136.02)]
14:41:05 [(50.46, -139.55)]
14:41:06 [(49.04, -143.8)]
14:41:06 [(51.17, -148.75)]
14:41:06 [(49.75, -150.16)]
14:41:06 [(45.51, -155.82)]
14:41:06 [(41.27, -158.65)]
14:41:06 [(36.32, -160.77)]
14:41:06 [(36.32, -159.35)]
14:41:06 [(38.44, -152.99)]
14:41:06 [(39.85, -147.33)]
14:41:06 [(37.73, -146.63)]
14:41:06 [(39.14, -149.45)]
14:41:07 [(40.56, -148.04)]
14:41:07 [(40.56, -145.21)]
14:41:07 [(38.44, -145.92)]
Disconnected from MQTT broker, return code 0

Script done on 2024-04-23 14:41:30+08:00 [COMMAND_EXIT_CODE="0"]
