Script started on 2024-04-29 14:06:23+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'True', 'radar2_en': 'False', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:08:02 [(17.0, -440.0)]
14:08:02 [(33.0, -434.0)]
14:08:02 [(46.0, -418.0)]
14:08:02 [(44.0, -406.0)]
14:08:03 [(45.0, -403.0)]
14:08:03 [(57.0, -405.0)]
14:08:03 [(66.0, -407.0)]
14:08:03 [(69.0, -411.0)]
14:08:03 [(70.0, -411.0)]
14:08:03 [(69.0, -411.0)]
14:08:03 [(67.0, -410.0)]
14:08:03 [(64.0, -410.0)]
14:08:03 [(62.0, -410.0)]
14:08:03 [(64.0, -410.0)]
14:08:03 [(64.0, -412.0)]
14:08:04 [(66.0, -413.0)]
14:08:04 [(66.0, -415.0)]
14:08:04 [(69.0, -417.0)]
14:08:04 [(78.0, -416.0)]
14:08:04 [(90.0, -414.0)]
14:08:04 [(97.0, -414.0)]
14:08:04 [(101.0, -415.0)]
14:08:04 [(106.0, -416.0)]
14:08:04 [(115.0, -417.0)]
14:08:04 [(125.0, -418.0)]
14:08:04 [(134.0, -418.0)]
14:08:05 [(139.0, -420.0)]
14:08:05 [(146.0, -422.0)]
14:08:05 [(154.0, -423.0)]
14:08:05 [(161.0, -425.0)]
14:08:05 [(162.0, -426.0)]
14:08:05 [(161.0, -428.0)]
14:08:05 [(164.0, -427.0)]
14:08:05 [(169.0, -425.0)]
14:08:05 [(169.0, -424.0)]
14:08:05 [(165.0, -420.0)]
14:08:05 [(161.0, -416.0)]
14:08:05 [(159.0, -414.0)]
14:08:06 [(161.0, -414.0)]
14:08:06 [(164.0, -414.0)]
14:08:06 [(164.0, -418.0)]
14:08:06 [(162.0, -419.0)]
14:08:06 [(163.0, -418.0)]
14:08:06 [(160.0, -419.0)]
14:08:06 [(158.0, -419.0)]
14:08:06 [(161.0, -419.0)]
14:08:06 [(165.0, -419.0)]
14:08:06 [(170.0, -416.0)]
14:08:06 [(173.0, -414.0)]
14:08:07 [(170.0, -413.0)]
14:08:07 [(168.0, -410.0)]
14:08:07 [(165.0, -412.0)]
14:08:07 [(158.0, -415.0)]
14:08:07 [(149.0, -421.0)]
14:08:07 [(137.0, -425.0)]
14:08:07 [(126.0, -429.0)]
14:08:07 [(114.0, -431.0)]
14:08:07 [(103.0, -434.0)]
14:08:07 [(93.0, -436.0)]
14:08:07 [(83.0, -439.0)]
14:08:08 [(73.0, -441.0)]
14:08:08 [(63.0, -443.0)]
14:08:08 [(54.0, -445.0)]
14:08:08 [(45.0, -448.0)]
14:08:08 [(37.0, -450.0)]
14:08:08 [(29.0, -451.0)]
14:08:08 [(21.0, -453.0)]
14:08:08 [(14.0, -454.0)]
14:08:08 [(7.0, -454.0)]
14:08:08 [(-2.0, -455.0)]
14:08:08 [(-12.0, -456.0)]
14:08:09 [(-21.0, -456.0)]
14:08:09 [(-31.0, -457.0)]
14:08:09 [(-34.0, -458.0)]
14:08:09 [(-35.0, -457.0)]
14:08:09 [(-37.0, -457.0)]
14:08:09 [(-43.0, -457.0)]
14:08:09 [(-52.0, -457.0)]
14:08:09 [(-60.0, -455.0)]
14:08:09 [(-68.0, -454.0)]
14:08:09 [(-73.0, -453.0)]
14:08:09 [(-80.0, -457.0)]
14:08:10 [(-84.0, -457.0)]
14:08:10 [(-90.0, -452.0)]
14:08:10 [(-97.0, -448.0)]
14:08:10 [(-101.0, -441.0)]
14:08:10 [(-104.0, -435.0)]
14:08:10 [(-105.0, -427.0)]
14:08:10 [(-107.0, -418.0)]
14:08:10 [(-104.0, -407.0)]
14:08:10 [(-103.0, -397.0)]
14:08:10 [(-97.0, -386.0)]
14:08:10 [(-89.0, -374.0)]
14:08:10 [(-86.0, -365.0)]
14:08:11 [(-80.0, -357.0)]
14:08:11 [(-78.0, -347.0)]
14:08:11 [(-77.0, -337.0)]
14:08:11 [(-75.0, -330.0)]
14:08:11 [(-73.0, -324.0)]
14:08:11 [(-70.0, -318.0)]
14:08:11 [(-74.0, -312.0)]
14:08:11 [(-73.0, -307.0)]
14:08:11 [(-72.0, -301.0)]
14:08:11 [(-72.0, -296.0)]
14:08:11 [(-73.0, -290.0)]
14:08:12 [(-75.0, -285.0)]
14:08:12 [(-72.0, -279.0)]
14:08:12 [(-64.0, -272.0)]
14:08:12 [(-52.0, -263.0)]
14:08:12 [(-41.0, -254.0)]
14:08:12 [(-31.0, -246.0)]
14:08:12 [(-21.0, -239.0)]
14:08:12 [(-11.0, -231.0)]
14:08:12 [(-2.0, -224.0)]
14:08:12 [(6.0, -217.0)]
14:08:12 [(15.0, -210.0)]
14:08:13 [(24.0, -204.0)]
14:08:13 [(32.0, -197.0)]
14:08:13 [(40.0, -191.0)]
14:08:13 [(47.0, -185.0)]
14:08:13 [(55.0, -180.0)]
14:08:13 [(62.0, -174.0)]
14:08:13 [(69.0, -169.0)]
14:08:13 [(69.0, -169.0)]
14:08:13 [(69.0, -169.0)]
14:08:13 [(69.0, -169.0)]
14:08:13 [(69.0, -169.0)]
14:08:14 [(69.0, -169.0)]
14:08:14 [(69.0, -169.0)]
14:08:14 [(69.0, -169.0)]
14:08:14 [(69.0, -169.0)]
14:08:14 [(69.0, -169.0)]
14:08:14 [(52.0, -162.0)]
14:08:14 [(45.0, -157.0)]
14:08:14 [(41.0, -154.0)]
14:08:14 [(35.0, -150.0)]
14:08:14 [(32.0, -146.0)]
14:08:14 [(34.0, -144.0)]
14:08:14 [(32.0, -143.0)]
14:08:15 [(35.0, -143.0)]
14:08:15 [(36.0, -146.0)]
14:08:15 [(39.0, -152.0)]
14:08:15 [(42.0, -161.0)]
14:08:15 [(46.0, -174.0)]
14:08:15 [(52.0, -211.0)]
14:08:15 [(55.0, -246.0)]
14:08:15 [(45.0, -276.0)]
14:08:15 [(40.0, -310.0)]
14:08:15 [(49.0, -356.0)]
14:08:15 [(56.0, -410.0)]
14:08:16 [(64.0, -520.0)]
14:08:16 [(70.0, -626.0)]
14:08:16 [(76.0, -731.0)]
14:08:16 [(65.0, -823.0)]
14:08:16 [(50.0, -913.0)]
14:08:16 [(54.0, -1007.0)]
14:08:16 [(66.0, -1100.0)]
14:08:16 [(89.0, -1194.0)]
14:08:16 [(109.0, -1283.0)]
14:08:16 [(106.0, -1370.0)]
14:08:16 [(80.0, -1457.0)]
14:08:17 [(56.0, -1541.0)]
14:08:17 [(39.0, -1621.0)]
14:08:17 [(6.0, -1697.0)]
14:08:17 [(-9.0, -1770.0)]
14:08:17 [(-22.0, -1844.0)]
14:08:17 [(-37.0, -1917.0)]
14:08:17 [(-64.0, -1989.0)]
14:08:17 [(-87.0, -2057.0)]
14:08:17 [(-102.0, -2121.0)]
14:08:17 [(-115.0, -2180.0)]
14:08:17 [(-113.0, -2232.0)]
14:08:18 [(-108.0, -2278.0)]
14:08:18 [(-108.0, -2313.0)]
14:08:18 [(-113.0, -2338.0)]
