Script started on 2024-04-23 14:21:20+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:21:57 [(1229.5, -1048.0)]
14:21:57 [(1266.0, -1040.75)]
14:21:58 [(1315.5, -1032.75)]
14:21:58 [(1377.0, -1042.25)]
14:21:58 [(1422.0, -1038.25)]
14:21:58 [(1469.25, -1035.5)]
14:21:58 [(1498.25, -1029.25)]
14:21:58 [(1509.5, -1024.0)]
14:21:58 [(1520.75, -1024.25)]
14:21:58 [(1526.75, -1020.75)]
14:21:58 [(1535.0, -1013.25)]
14:21:58 [(1542.0, -996.5)]
14:21:58 [(1545.5, -977.75)]
14:21:59 [(1540.25, -949.0)]
14:21:59 [(1532.25, -897.25)]
14:21:59 [(1534.5, -838.0)]
14:21:59 [(1533.25, -785.0)]
14:21:59 [(1530.5, -743.0)]
14:21:59 [(1540.25, -687.75)]
14:21:59 [(1562.25, -636.0)]
14:21:59 [(1577.25, -586.5)]
14:21:59 [(1594.5, -531.75)]
14:21:59 [(1748.33, -381.0)]
14:21:59 [(1766.67, -253.33)]
14:22:00 [(1770.67, -181.0)]
14:22:00 [(1773.67, -99.67)]
14:22:00 [(1770.33, -20.67)]
14:22:00 [(1770.0, 54.0)]
14:22:00 [(1760.67, 131.33)]
14:22:00 [(1723.5, 392.5)]
14:22:00 [(1722.5, 475.5)]
14:22:00 [(1718.0, 545.5)]
14:22:00 [(1720.5, 613.0)]
14:22:00 [(1715.5, 682.5)]
14:22:00 [(1775.67, 572.67)]
14:22:01 [(1760.67, 660.33)]
14:22:01 [(1735.67, 744.0)]
14:22:01 [(1700.0, 822.0)]
14:22:01 [(1651.0, 903.0)]
14:22:01 [(1607.0, 986.33)]
14:22:01 [(1567.67, 1072.67)]
14:22:01 [(1527.0, 1154.0)]
14:22:01 [(1501.33, 1227.33)]
14:22:01 [(1446.0, 1134.25)]
14:22:01 [(1428.25, 1211.5)]
14:22:01 [(1414.0, 1312.25)]
14:22:02 [(1414.25, 1395.5)]
14:22:02 [(1418.5, 1480.0)]
14:22:02 [(1424.25, 1561.75)]
14:22:02 [(1547.67, 1754.33)]
14:22:02 [(1559.0, 1826.67)]
14:22:02 [(1529.0, 1891.67)]
14:22:02 [(1503.0, 1942.33)]
14:22:02 [(1482.67, 1972.0)]
14:22:02 [(1469.0, 1990.0)]
14:22:02 [(1463.0, 1992.0)]
14:22:02 [(1459.33, 1993.33)]
14:22:03 [(1449.33, 1996.33)]
14:22:03 [(1423.67, 2001.0)]
14:22:03 [(1373.67, 2015.0)]
14:22:03 [(1233.5, 1867.5)]
14:22:03 [(1195.75, 1878.0)]
14:22:03 [(1138.25, 1887.75)]
14:22:03 [(1087.75, 1900.75)]
14:22:03 [(1032.75, 1917.5)]
14:22:03 [(977.5, 1935.25)]
14:22:03 [(909.25, 1953.0)]
14:22:03 [(840.0, 1961.5)]
14:22:04 [(779.75, 1957.5)]
14:22:04 [(706.75, 1953.75)]
14:22:04 [(643.25, 1953.0)]
14:22:04 [(584.5, 1952.0)]
14:22:04 [(532.5, 1957.75)]
14:22:04 [(485.5, 1972.0)]
14:22:04 [(433.0, 1976.5)]
14:22:04 [(366.5, 1983.25)]
14:22:04 [(312.0, 1997.0)]
14:22:04 [(254.5, 2011.5)]
14:22:04 [(187.25, 2029.0)]
14:22:04 [(127.0, 2049.25)]
14:22:05 [(-90.33, 1999.33)]
14:22:05 [(-157.0, 2008.67)]
14:22:05 [(-219.67, 2014.0)]
14:22:05 [(-118.75, 2089.0)]
14:22:05 [(-185.25, 2078.5)]
14:22:05 [(-246.75, 2074.25)]
14:22:05 [(-314.75, 2058.25)]
14:22:05 [(-384.0, 2037.0)]
14:22:05 [(-454.25, 2018.75)]
14:22:05 [(-301.5, 1962.0)]
14:22:05 [(-360.5, 1990.5)]
14:22:06 [(-753.0, 1877.0)]
14:22:06 [(-858.5, 1871.0)]
14:22:06 [(-963.5, 1870.5)]
14:22:06 [(-1055.5, 1865.0)]
14:22:06 [(-1143.0, 1864.5)]
14:22:06 [(-1222.0, 1863.5)]
14:22:06 [(-1287.5, 1857.0)]
14:22:06 [(-1345.5, 1848.0)]
14:22:06 [(-1407.5, 1832.0)]
14:22:06 [(-1454.5, 1825.5)]
14:22:06 [(-1500.5, 1823.5)]
14:22:07 [(-1463.67, 1959.0)]
14:22:07 [(-1580.67, 1942.33)]
14:22:07 [(-1693.67, 1918.33)]
14:22:07 [(-1798.0, 1900.0)]
14:22:07 [(-1887.0, 1881.67)]
14:22:07 [(-1956.0, 1860.67)]
14:22:07 [(-1993.67, 1868.67)]
14:22:07 [(-2017.67, 1874.33)]
14:22:07 [(-1873.0, 1991.0)]
14:22:07 [(-1881.0, 1979.5)]
14:22:07 [(-1885.0, 1968.5)]
14:22:08 [(-1884.5, 1955.0)]
14:22:08 [(-1883.5, 1944.5)]
14:22:08 [(-1882.5, 1925.0)]
14:22:08 [(-1881.0, 1885.5)]
14:22:08 [(-1878.0, 1842.0)]
14:22:08 [(-1877.5, 1774.0)]
14:22:08 [(-1883.0, 1697.0)]
14:22:08 [(-1889.0, 1584.5)]
14:22:08 [(-1901.5, 1455.0)]
14:22:08 [(-1944.0, 1251.0)]
14:22:08 [(-1988.0, 1077.5)]
14:22:09 [(-2201.0, 760.5)]
14:22:09 [(-2230.5, 941.5)]
14:22:09 [(-2221.0, 871.0)]
14:22:09 [(-2212.0, 804.0)]
14:22:09 [(-2204.5, 737.5)]
14:22:09 [(-2204.0, 663.0)]
14:22:09 [(-2200.5, 588.5)]
14:22:09 [(-2195.0, 513.5)]
14:22:09 [(-2093.33, 301.0)]
14:22:09 [(-2077.33, 229.0)]
14:22:09 [(-2060.0, 162.67)]
14:22:10 [(-2051.0, 93.33)]
14:22:10 [(-2045.33, 37.0)]
14:22:10 [(-2035.0, -7.0)]
14:22:10 [(-2027.67, -58.33)]
14:22:10 [(-2025.33, -135.33)]
14:22:10 [(-2025.0, -238.33)]
14:22:10 [(-2013.67, -329.67)]
14:22:10 [(-1998.0, -411.33)]
14:22:10 [(-1983.33, -497.33)]
14:22:10 [(-2061.0, -415.0)]
14:22:10 [(-2051.0, -479.5)]
14:22:11 [(-2035.0, -556.5)]
14:22:11 [(-2017.0, -635.0)]
14:22:11 [(-2007.5, -709.5)]
14:22:11 [(-1905.33, -936.0)]
14:22:11 [(-1913.33, -985.0)]
14:22:11 [(-1858.5, -1136.5)]
14:22:11 [(-1862.0, -1186.5)]
14:22:11 [(-1857.0, -1240.0)]
14:22:11 [(-1858.0, -1309.5)]
14:22:11 [(-1861.5, -1387.5)]
14:22:11 [(-1869.5, -1463.0)]
14:22:11 [(-1872.0, -1552.0)]
14:22:12 [(-1858.0, -1642.5)]
14:22:12 [(-1838.0, -1745.5)]
14:22:12 [(-1941.33, -1630.33)]
14:22:12 [(-1909.0, -1702.33)]
14:22:12 [(-1964.5, -1563.0)]
14:22:12 [(-1948.5, -1613.0)]
14:22:12 [(-1929.0, -1659.0)]
14:22:12 [(-1917.0, -1696.5)]
14:22:12 [(-1913.0, -1724.0)]
14:22:12 [(-1911.0, -1742.0)]
14:22:12 [(-1906.5, -1754.5)]
14:22:13 [(-1901.0, -1772.5)]
14:22:13 [(-1892.0, -1783.0)]
14:22:13 [(-1869.0, -1799.5)]
14:22:13 [(-1834.0, -1822.5)]
14:22:13 [(-1779.5, -1851.5)]
14:22:13 [(-1721.0, -1883.5)]
14:22:13 [(-1669.0, -1904.5)]
14:22:13 [(-1630.0, -1905.0)]
14:22:13 [(-1585.0, -1903.5)]
14:22:13 [(-1520.5, -1912.5)]
14:22:13 [(-1463.5, -1917.5)]
14:22:14 [(-1410.5, -1929.0)]
14:22:14 [(-1366.5, -1930.5)]
14:22:14 [(-1314.5, -1926.5)]
14:22:14 [(-1248.5, -1924.0)]
14:22:14 [(-1178.0, -1931.5)]
14:22:14 [(-1111.5, -1930.5)]
14:22:14 [(-1053.0, -1922.0)]
14:22:14 [(-993.5, -1912.0)]
14:22:14 [(-957.67, -1938.0)]
14:22:14 [(-904.0, -1928.67)]
14:22:14 [(-843.33, -1923.33)]
14:22:15 [(-661.75, -2063.5)]
14:22:15 [(-583.5, -2057.75)]
14:22:15 [(-498.0, -2060.0)]
14:22:15 [(-297.67, -2056.67)]
14:22:15 [(-218.67, -2046.33)]
14:22:15 [(-131.0, -2044.67)]
14:22:15 [(-52.0, -2040.0)]
14:22:15 [(24.67, -2023.67)]
14:22:15 [(109.33, -2010.0)]
14:22:15 [(197.33, -1996.0)]
14:22:15 [(285.0, -1984.67)]
14:22:16 [(368.67, -1969.67)]
14:22:16 [(447.67, -1957.0)]
14:22:16 [(521.0, -1943.0)]
14:22:16 [(591.0, -1939.67)]
14:22:16 [(667.0, -1941.67)]
14:22:16 [(744.0, -1957.33)]
14:22:16 [(824.67, -1968.0)]
14:22:16 [(895.33, -1971.0)]
14:22:16 [(968.33, -1971.67)]
14:22:16 [(1039.67, -1972.0)]
14:22:16 [(1113.0, -1977.0)]
14:22:16 [(1203.0, -2007.67)]
14:22:17 [(1436.0, -2146.5)]
14:22:17 [(1511.5, -2219.5)]
14:22:17 [(1579.5, -2282.0)]
14:22:17 []
14:22:17 []
14:22:17 []
14:22:17 [(1863.5, -2210.0)]
14:22:17 [(1951.0, -2120.5)]
14:22:17 [(2046.0, -2049.5)]
14:22:17 [(2148.0, -1990.5)]
14:22:17 []
14:22:18 []
14:22:18 []
14:22:18 []
14:22:18 []
14:22:18 []
14:22:18 [(1980.0, -2137.0)]
14:22:18 [(2017.5, -2112.5)]
14:22:18 [(2051.5, -2091.5)]
14:22:18 [(2099.0, -2068.0)]
14:22:18 [(2134.0, -2048.0)]
14:22:19 [(2142.5, -2049.5)]
14:22:19 [(2155.0, -2044.5)]
14:22:19 [(2156.0, -2034.5)]
14:22:19 [(2159.5, -2019.5)]
14:22:19 [(2168.5, -2000.5)]
14:22:19 [(2178.0, -1985.0)]
14:22:19 [(2196.0, -1965.5)]
14:22:19 [(2406.0, -1839.0)]
14:22:19 [(2416.33, -1814.0)]
14:22:19 [(2418.67, -1775.67)]
14:22:19 [(2420.67, -1738.33)]
14:22:19 [(2428.67, -1693.0)]
14:22:20 [(2446.0, -1637.33)]
14:22:20 [(2455.0, -1586.33)]
14:22:20 [(2463.33, -1533.67)]
14:22:20 [(2475.33, -1473.0)]
14:22:20 [(2498.33, -1407.67)]
14:22:20 [(2523.33, -1339.67)]
14:22:20 [(2490.5, -1120.5)]
14:22:20 [(2519.0, -1048.0)]
14:22:20 [(2511.5, -968.0)]
14:22:20 [(2470.0, -881.0)]
14:22:20 [(2433.5, -794.5)]
14:22:21 [(2396.5, -715.5)]
14:22:21 [(2376.0, -637.0)]
14:22:21 [(2367.0, -550.0)]
14:22:21 [(2382.5, -473.0)]
14:22:21 [(2405.0, -391.0)]
14:22:21 [(2427.0, -300.0)]
14:22:21 [(2615.67, -182.33)]
14:22:21 [(2591.67, -104.67)]
14:22:21 [(2554.33, -42.0)]
14:22:21 [(2522.33, 13.67)]
14:22:21 [(2552.5, 146.0)]
14:22:22 [(2574.5, 227.5)]
14:22:22 [(2603.5, 308.5)]
14:22:22 [(2617.0, 385.0)]
14:22:22 [(2624.0, 456.5)]
14:22:22 [(2648.5, 528.0)]
14:22:22 [(2674.0, 594.0)]
14:22:22 [(2697.0, 666.5)]
14:22:22 [(2717.0, 746.5)]
14:22:22 [(2717.5, 829.0)]
14:22:22 [(2706.0, 908.5)]
14:22:22 [(2670.5, 999.5)]
14:22:23 [(2636.5, 1084.0)]
14:22:23 [(2624.0, 1149.5)]
14:22:23 [(2619.0, 1188.5)]
14:22:23 [(2619.5, 1225.5)]
14:22:23 [(2620.5, 1290.5)]
14:22:23 [(2636.5, 1380.5)]
14:22:23 [(2672.0, 1491.0)]
14:22:23 [(2694.0, 1591.5)]
14:22:23 [(2686.5, 1684.0)]
14:22:23 [(2672.0, 1784.5)]
14:22:23 [(2656.5, 1875.0)]
14:22:23 [(2641.0, 1952.0)]
14:22:24 [(2634.0, 2016.5)]
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:24 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:25 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:26 []
14:22:27 []
14:22:27 []
Disconnected from MQTT broker, return code 0

Script done on 2024-04-23 14:23:21+08:00 [COMMAND_EXIT_CODE="0"]
