Script started on 2024-04-29 14:51:01+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Connected to MQTT broker.
14:52:03 [(-818.0, 1036.0)]
14:52:03 [(-852.5, 1022.5)]
14:52:03 [(-882.5, 1011.5)]
14:52:03 [(-911.5, 999.5)]
14:52:03 [(-945.0, 985.0)]
14:52:03 [(-957.0, 985.0)]
14:52:03 [(-967.5, 970.0)]
14:52:03 [(-975.0, 941.0)]
14:52:03 [(-985.0, 900.0)]
14:52:03 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 []
14:52:04 [(-1151.5, 194.0)]
14:52:05 [(-1150.5, 158.0)]
14:52:05 [(-1149.0, 123.5)]
14:52:05 [(-1142.5, 88.0)]
14:52:05 [(-1127.5, 19.0)]
14:52:05 [(-1102.0, -85.5)]
14:52:05 [(-1084.5, -194.5)]
14:52:05 [(-1082.0, -294.5)]
14:52:05 [(-1087.5, -390.0)]
14:52:05 [(-1075.0, -479.0)]
14:52:05 [(-1080.0, -558.5)]
14:52:05 [(-1077.0, -637.0)]
14:52:05 [(-1071.5, -721.0)]
14:52:06 [(-1054.0, -790.0)]
14:52:06 [(-1034.5, -842.5)]
14:52:06 [(-1018.5, -896.0)]
14:52:06 [(-1013.5, -949.0)]
14:52:06 [(-1005.0, -983.0)]
14:52:06 [(-1011.0, -1014.0)]
14:52:06 [(-1006.5, -1038.0)]
14:52:06 [(-1007.5, -1059.0)]
14:52:06 [(-1010.0, -1078.0)]
14:52:06 [(-1007.5, -1085.5)]
14:52:06 [(-1005.0, -1096.5)]
14:52:07 [(-998.0, -1104.0)]
14:52:07 [(-982.5, -1115.5)]
14:52:07 [(-964.0, -1123.5)]
14:52:07 [(-935.5, -1129.5)]
14:52:07 [(-867.0, -1124.5)]
14:52:07 [(-797.5, -1119.5)]
14:52:07 [(-723.5, -1109.0)]
14:52:07 [(-650.0, -1104.5)]
14:52:07 [(-584.5, -1103.0)]
14:52:07 [(-521.0, -1098.5)]
14:52:07 [(-449.0, -1098.5)]
14:52:08 [(-375.0, -1111.0)]
14:52:08 [(-296.0, -1131.0)]
14:52:08 [(-220.5, -1132.5)]
14:52:08 [(-143.5, -1126.5)]
14:52:08 [(-72.5, -1121.0)]
14:52:08 [(7.0, -1119.0)]
14:52:08 [(82.0, -1117.0)]
